round,loss,accuracy,precision,recall,f1_score,tp,tn,fp,fn,score,rank,reward
1,0.0062,99.86%,0.0%,0.0%,0.0%,0,730,0,1,0.0,0,0.0
2,0.0071,99.86%,0.0%,0.0%,0.0%,0,730,0,1,0.0,0,0.0
