round,loss,accuracy,precision,recall,f1_score,tp,tn,fp,fn,score,rank,reward
1,0.0081,99.86%,100.0%,50.0%,66.67%,1,729,0,1,0.0,0,0.0
2,0.0074,99.86%,100.0%,50.0%,66.67%,1,729,0,1,0.0,0,0.0
