round,loss,accuracy,precision,recall,f1_score,tp,tn,fp,fn,score,rank,reward
1,0.0055,100.0%,100.0%,100.0%,100.0%,1,730,0,0,0.0,0,0.0
2,0.0038,100.0%,100.0%,100.0%,100.0%,1,730,0,0,0.0,0,0.0
