iter	Passed	Remaining
401	14821	22047
402	14849	21997
403	14879	21950
404	14906	21899
405	14938	21855
406	14992	21843
407	15045	21830
408	15068	21774
409	15149	21801
410	15214	21803
411	15236	21745
412	15257	21686
413	15279	21627
414	15308	21579
415	15349	21549
416	15376	21497
417	15440	21498
418	15463	21442
419	15489	21389
420	15513	21336
421	15538	21282
422	15566	21234
423	15588	21176
424	15607	21116
425	15631	21062
426	15662	21017
427	15684	20961
428	15705	20904
429	15724	20843
430	15743	20784
431	15762	20724
432	15779	20662
433	15812	20621
434	15844	20579
435	15863	20520
436	15886	20467
437	15908	20412
438	15954	20388
439	15998	20361
440	16032	20321
441	16069	20286
442	16102	20246
443	16126	20194
444	16142	20133
445	16161	20075
446	16182	20020
447	16206	19968
448	16226	19912
449	16244	19854
450	16261	19794
451	16279	19737
452	16296	19677
453	16316	19622
454	16334	19565
455	16356	19513
456	16378	19460
457	16395	19402
458	16415	19348
459	16435	19293
460	16471	19257
461	16499	19213
462	16527	19169
463	16554	19123
464	16577	19073
465	16592	19014
466	16614	18962
467	16632	18906
468	16652	18854
469	16672	18800
470	16691	18747
471	16723	18707
472	16772	18687
473	16806	18650
474	16865	18640
475	16898	18602
476	16931	18563
477	16961	18522
478	16989	18478
479	17037	18457
480	17064	18412
481	17090	18367
482	17123	18328
483	17149	18283
484	17166	18228
485	17188	18178
486	17209	18128
487	17226	18074
488	17245	18021
489	17263	17967
490	17282	17916
491	17299	17862
492	17322	17814
493	17338	17759
494	17359	17710
495	17381	17661
496	17403	17613
497	17425	17565
498	17450	17520
499	17484	17484
500	17524	17454
501	17562	17422
502	17597	17387
503	17615	17335
504	17637	17288
505	17656	17237
506	17677	17189
507	17700	17143
508	17722	17095
509	17765	17068
510	17788	17022
511	17808	16973
512	17830	16926
513	17864	16891
514	17882	16841
515	17899	16789
516	17920	16742
517	17940	16693
518	17962	16647
519	17986	16602
520	17998	16547
521	18016	16497
522	18030	16444
523	18046	16393
524	18060	16340
525	18089	16301
526	18101	16246
527	18123	16201
528	18132	16144
529	18149	16094
530	18163	16042
531	18182	15995
532	18207	15953
533	18227	15906
534	18239	15852
535	18258	15806
536	18275	15757
537	18305	15719
538	18323	15672
539	18358	15639
540	18397	15609
541	18445	15586
542	18486	15558
543	18504	15510
544	18536	15475
545	18551	15425
546	18570	15379
547	18588	15332
548	18617	15294
549	18654	15262
550	18692	15232
551	18720	15193
552	18753	15158
553	18790	15127
554	18807	15080
555	18826	15033
556	18844	14987
557	18859	14939
558	18874	14890
559	18892	14844
560	18906	14795
561	18922	14747
562	18942	14702
563	18964	14660
564	18996	14625
565	19024	14587
566	19057	14553
567	19089	14518
568	19115	14479
569	19146	14443
570	19174	14406
571	19200	14366
572	19219	14322
573	19235	14276
574	19266	14240
575	19282	14194
576	19306	14153
577	19322	14107
578	19346	14067
579	19369	14025
580	19389	13983
581	19407	13938
582	19429	13897
583	19450	13855
584	19473	13814
585	19497	13775
586	19518	13733
587	19540	13691
588	19559	13648
589	19575	13603
590	19595	13561
591	19614	13517
592	19626	13470
593	19650	13431
594	19678	13394
595	19708	13359
596	19735	13322
597	19759	13283
598	19789	13248
599	19812	13208
600	19831	13165
601	19855	13127
602	19882	13089
603	19899	13046
604	19920	13005
605	19954	12973
606	19986	12939
607	20016	12905
608	20045	12870
609	20087	12842
610	20122	12811
611	20146	12772
612	20166	12731
